"id","dam","sire","sex"
"TP25112","T640728","TL39062",NA
"TP25150","N199430","TK27850",NA
"TP25147","N199430","TK27850",NA
"TP25143","N199430","TK27850",NA
"TP25148","N199430","TK27850",NA
"TP25149","N199430","TK27850",NA
"TP25145","N199430","TK27850",NA
"TP25144","N199430","TK27850",NA
"TP25146","N199430","TK27850",NA
"TP25018","TK27170","TL37063",NA
"TP25014","TK27170","TL37063",NA
"TP25015","TK27170","TL37063",NA
"TP25010","TK27170","TL37063",NA
"TP25011","TK27170","TL37063",NA
"TP25017","TK27170","TL37063",NA
"TP25016","TK27170","TL37063",NA
"TP25012","TK27170","TL37063",NA
"TP25013","TK27170","TL37063",NA
"TP25177","E018358","TC59708",NA
"TP25175","E018358","TC59708",NA
"TP25171","E018358","TC59708",NA
"TP25179","E018358","TC59708",NA
"TP25176","E018358","TC59708",NA
"TP25173","E018358","TC59708",NA
"TP25170","E018358","TC59708",NA
"TP25174","E018358","TC59708",NA
"TP25178","E018358","TC59708",NA
"TP25172","E018358","TC59708",NA
"TP25044","TL39052","TK27019",NA
"TP25041","TL39052","TK27019",NA
"TP25046","TL39052","TK27019",NA
"TP25043","TL39052","TK27019",NA
"TP25047","TL39052","TK27019",NA
"TP25045","TL39052","TK27019",NA
"TP25048","TL39052","TK27019",NA
"TP25042","TL39052","TK27019",NA
"TP25139","R639217","TL39491",NA
"TP25137","R639217","TL39491",NA
"TP25141","R639217","TL39491",NA
"TP25136","R639217","TL39491",NA
"TP25138","R639217","TL39491",NA
"TP25142","R639217","TL39491",NA
"TP25140","R639217","TL39491",NA
"TP25186","TB26105","X239911",NA
"TP25187","TB26105","X239911",NA
"TP25181","TB26105","X239911",NA
"TP25184","TB26105","X239911",NA
"TP25185","TB26105","X239911",NA
"TP25180","TB26105","X239911",NA
"TP25182","TB26105","X239911",NA
"TP25188","TB26105","X239911",NA
"TP25183","TB26105","X239911",NA
"TP25075","TL37422","X239909",NA
"TP25079","TL37422","X239909",NA
"TP25073","TL37422","X239909",NA
"TP25074","TL37422","X239909",NA
"TP25081","TL37422","X239909",NA
"TP25080","TL37422","X239909",NA
"TP25077","TL37422","X239909",NA
"TP25076","TL37422","X239909",NA
"TP25078","TL37422","X239909",NA
"TP25052","X239904","TJ24503",NA
"TP25054","X239904","TJ24503",NA
"TP25056","X239904","TJ24503",NA
"TP25055","X239904","TJ24503",NA
"TP25058","X239904","TJ24503",NA
"TP25053","X239904","TJ24503",NA
"TP25057","X239904","TJ24503",NA
"TP25051","X239904","TJ24503",NA
"TP25050","X239904","TJ24503",NA
"TP25049","X239904","TJ24503",NA
