"Box","laydate.change","standard.error","Oak_health_20m","Oak_health_50m","Oak_health_75m","Oak_health_100m","Oak_health_125m","Oak_health_150m","Oak_health_175m","Oak_health_200m","Oak_health_250m","No_trees_20m","No_trees_50m","No_trees_75m","No_trees_100m","No_trees_125m","No_trees_150m","No_trees_175m","No_trees_200m","No_trees_225m","No_trees_250m","territory_area","Mean_territory_area","edge.EDI.","altitude.m.","northness","habitat.type","soil.type","occupancy","duration"
"SW68",-0.205937353903698,0.235377176286318,NA,4,3.5,3,2.65,2.36363636363636,2.13461538461538,1.9375,1.80898876404494,0,1,5,9,19,32,50,62,79,86,1428.74130212702,21711.1398763524,3.23788,145.669,-0.110490647,"3","1",8,32
"SW69",-0.164236479321315,0.0472423535237035,NA,4,3.1,2.70588235294118,2.02777777777778,1.8,1.76056338028169,1.78823529411765,1.8019801980198,0,3,9,16,35,54,69,82,86,97,2368.74090254493,10654.5136042034,49.7953,146,0.491406975,"3","1",5,45
"SW7",1.49999999999999,0.288675134594581,NA,2.71428571428571,2.41666666666667,2.38095238095238,1.8695652173913,1.62162162162162,1.60416666666667,1.58653846153846,1.52980132450331,0,6,10,17,42,70,91,99,108,145,8912.06732915342,35008.6755073945,103.281,134.776,0.3715234,"3","2",3,7
"SW70",-0.355247981545559,0.129592772150813,3,3,1.85714285714286,2.17391304347826,1.90322580645161,1.71739130434783,1.75714285714286,1.73493975903614,1.78301886792453,1,3,7,22,30,45,68,81,92,103,2108.7590684928,23517.355902796,105.773,143.755,0.161472918,"3","1",19,41
"SW71",-0.39710276485495,0.0975582883523141,3,1.75,1.61538461538462,1.59090909090909,1.7,1.60714285714286,1.59722222222222,1.71910112359551,1.80357142857143,1,8,13,21,39,55,71,86,100,108,7016.74655414373,41088.9539898841,126.283,142.477,0.985669631,"3","1",8,55
"SW72",-0.343365671071734,0.178204779256399,NA,3.2,2.1875,1.92307692307692,1.73076923076923,1.65151515151515,1.67105263157895,1.68965517241379,1.79824561403509,0,4,15,25,51,65,74,85,101,110,4930.8064001482,23041.2204220926,89.09,144.322,0.985072304,"3","1",11,47
"SW73",-0.529600907887271,0.279893736417292,NA,3.4,2.72727272727273,2.35,2.24137931034483,1.95555555555556,1.83333333333333,1.77631578947368,1.84,0,4,10,19,28,44,58,74,82,96,1510.88391771633,5491.88173852933,3.89571,145.971,0.009354828,"3","1",8,25
"SW75",-0.369010143406798,0.137547398861584,2,2.46153846153846,2.18181818181818,2,1.81818181818182,1.8135593220339,1.77777777777778,1.72941176470588,1.78899082568807,2,12,21,30,43,57,69,82,92,105,2231.06861429941,23571.5074494073,30.4248,146,0.979450475,"3","1",6,48
"SW76",-0.38043138480776,0.107792935976389,1.5,1.57142857142857,1.75,1.9,1.8,1.72727272727273,1.74390243902439,1.73913043478261,1.76229508196721,2,14,28,38,53,63,79,89,102,118,4005.70476257429,17489.6332363176,55.72,145.678,0.862680546,"3","1",13,54
"SW77",-0.105571847507328,0.151336696850399,1.66666666666667,1.84615384615385,1.8,1.75,1.9047619047619,1.94117647058824,1.86153846153846,1.78947368421053,1.83636363636364,3,13,25,31,40,48,62,73,91,105,1559.32708287681,12000.0539286715,2.32436,145.148,0.865649914,"3","1",6,43
"SW78",-0.0121190304775616,0.0827070842795643,1.66666666666667,1.42857142857143,1.66666666666667,1.78048780487805,1.83673469387755,1.79710144927536,1.72839506172839,1.70967741935484,1.80645161290323,3,14,32,39,46,66,78,90,106,118,2337.20867429674,36585.8965310001,53.1941,144.993,0.828202191,"3","1",15,53
"SW79",-0.46809825428704,0.085586978621506,2.2,2,1.73076923076923,1.78571428571429,1.78846153846154,1.765625,1.80246913580247,1.79381443298969,1.82978723404255,4,8,24,40,50,62,77,93,111,134,2242.88708436437,24060.9019400481,56.6951,144.426,0.993559996,"3","1",6,37
"SW8",-0.427382823333643,0.103252514265826,2,1.77777777777778,1.78125,1.65454545454545,1.61111111111111,1.54761904761905,1.6063829787234,1.58620689655172,1.47085201793722,2,9,29,51,68,80,89,110,160,214,9903.01461205538,30196.1058301065,119.151,132.909,-0.414010208,"3","2",12,50
"SW80",-0.55020632737278,0.135286252210228,1.5,1.5,1.75,1.90625,1.84782608695652,1.80357142857143,1.95384615384615,1.96296296296296,1.84426229508197,2,8,19,30,44,54,61,76,95,115,6132.24935259658,10774.7207211892,9.87538,144.999,0.974483798,"3","1",5,21
"SW80A",-0.301438274071115,0.0920783425544406,1.66666666666667,1.8,1.91304347826087,2.125,2.21739130434783,2.11666666666667,1.9625,1.97872340425532,1.93918918918919,3,10,22,29,41,54,74,87,108,135,5136.8695330061,19971.7418478599,81.7669,144.473,0.786679722,"3","1",11,52
"SW81",-0.091117130580981,0.181652940770525,3.5,2.5,2.15,1.87096774193548,1.83333333333333,1.91803278688525,1.85714285714286,1.85714285714286,1.86585365853659,1,10,18,29,45,58,79,99,132,154,3900.04296360537,22258.2227112448,82.8961,143.459,0.962998113,"3","1",17,37
"SW82",-0.246178269049869,0.0638800912279188,2.4,2.5,2.31578947368421,2.13333333333333,2.26190476190476,2.01538461538462,1.91397849462366,1.9051724137931,1.91616766467066,5,7,17,27,37,59,87,108,139,154,6002.57227651682,20553.0918841322,116.137,142.851,0.902772294,"3","1",15,43
"SW83",-0.387116702235203,0.167461849889437,3,2.09090909090909,2.16129032258065,2.31818181818182,2.3448275862069,2.26470588235294,2.28048780487805,2.16304347826087,2.07377049180328,2,21,28,38,49,58,70,80,91,107,2343.4170781821,17259.8857182283,57.9834,142.233,0.964599776,"3","1",14,42
"SW84",-0.24715819387432,0.173111520686985,1.5,2.35294117647059,2.2258064516129,2.18181818181818,2.28301886792453,2.27777777777778,2.21176470588235,2.12371134020619,1.97857142857143,4,15,28,40,47,62,73,85,108,126,1549.26555768307,15062.0624676047,83.6734,143.034,0.822272192,"3","1",7,51
