Rtype,Ring,Spec,Age,Sex,Date,Place,Site,Find,Circumstance,Text,Wing,Wt,Init,Blmtd,Bill,Bdmtd,Billd,Tsmtd,Tarsus,Fat,Fatmtd,Pec,Pulaliv,Pulring
N,AFH4823,BLUTI,1,,24/05/2019 09:00,WYT,SW38,,,,,10.9,KMM,,,,,,,,,,8,8
N,AFH4824,BLUTI,1,,24/05/2019 09:00,WYT,SW38,,,,,11.3,KMM,,,,,,,,,,8,8
N,AFH4825,BLUTI,1,,24/05/2019 09:00,WYT,SW38,,,,,11.4,KMM,,,,,,,,,,8,8
N,AFH4826,BLUTI,1,,24/05/2019 09:00,WYT,SW38,,,,,11.5,KMM,,,,,,,,,,8,8
N,AFH4827,BLUTI,1,,24/05/2019 09:00,WYT,SW38,,,,,10.8,KMM,,,,,,,,,,8,8
N,AFH4828,BLUTI,1,,24/05/2019 09:00,WYT,SW38,,,,,11.7,KMM,,,,,,,,,,8,8
N,AFH4829,BLUTI,1,,24/05/2019 09:00,WYT,SW38,,,,,11.1,KMM,,,,,,,,,,8,8
N,AFH4830,BLUTI,1,,24/05/2019 09:00,WYT,SW38,,,,,11.6,KMM,,,,,,,,,,8,8
N,AFH4111,BLUTI,5,M,16/05/2019 06:30,WYT,SW4,,,,63,10.5,KMM,,,,,M,19.5,,,,,
N,Z031664,BLUTI,1,,20/05/2019 09:00,WYT,SW4,,,,,12.1,KMM,,,,,,,,,,13,13
N,Z031665,BLUTI,1,,20/05/2019 09:00,WYT,SW4,,,,,11.3,KMM,,,,,,,,,,13,13
N,Z031666,BLUTI,1,,20/05/2019 09:00,WYT,SW4,,,,,10.9,KMM,,,,,,,,,,13,13
N,Z031667,BLUTI,1,,20/05/2019 09:00,WYT,SW4,,,,,11.2,KMM,,,,,,,,,,13,13
N,Z031668,BLUTI,1,,20/05/2019 09:00,WYT,SW4,,,,,10.7,KMM,,,,,,,,,,13,13
N,Z031669,BLUTI,1,,20/05/2019 09:00,WYT,SW4,,,,,12,KMM,,,,,,,,,,13,13
N,Z031670,BLUTI,1,,20/05/2019 09:00,WYT,SW4,,,,,11.2,KMM,,,,,,,,,,13,13
N,Z031671,BLUTI,1,,20/05/2019 09:00,WYT,SW4,,,,,11.1,KMM,,,,,,,,,,13,13
N,Z031672,BLUTI,1,,20/05/2019 09:00,WYT,SW4,,,,,11.5,KMM,,,,,,,,,,13,13
N,Z031673,BLUTI,1,,20/05/2019 09:00,WYT,SW4,,,,,11.6,KMM,,,,,,,,,,13,13
N,Z031674,BLUTI,1,,20/05/2019 09:00,WYT,SW4,,,,,11.2,KMM,,,,,,,,,,13,13
N,Z031675,BLUTI,1,,20/05/2019 09:00,WYT,SW4,,,,,12.2,KMM,,,,,,,,,,13,13
N,Z031676,BLUTI,1,,20/05/2019 09:00,WYT,SW4,,,,,11.3,KMM,,,,,,,,,,13,13
N,AFH4393,BLUTI,5,F,20/05/2019 08:15,WYT,SW45,,,,60,10.5,KMM,,,,,M,18.3,,,,,
